individual_id_new,days_since_most_recent_email,days_since_most_recent_open,days_since_most_recent_click,tot_emails_30_days_prior,tot_emails_60_days_prior,tot_emails_90_days_prior,tot_emails_12_mon_prior,tot_emails_24_mon_prior,tot_emails_36_mon_prior,ever_emailed,email_domain_group,ind_fantasy_1y,ind_nbadaily_90d,ind_nbastore_90d,ind_marketing_allstar_1y,ind_events_allstar_1y,ind_nbateamticketoffers_1y,age,age_group,gender,closest_arena_distance,tenure,pre_total_ticket_amt_l12,pre_total_tickets_l12,pre_regular_season_tix,pre_playoffs_tix,pre_tickets_ever,fan_total_amt_l12,fan_total_amt_l24,fan_total_amt_l36,fan_mths_since_last_purch,fan_purch_ever,fan_purch_visa_ind,fan_purch_mc_ind,fan_purch_amex_ind,fan_purch_disc_ind,fan_purch_giftcard_ind,fan_purch_paypal_ind,fan_purch_web_ind,fan_purch_mobile_ind,fan_fav_team,post_retail_response,lp_subscriber,lp_purch_amex_ind,lp_purch_mc_ind,lp_purch_visa_ind,lp_purch_disc_ind,lp_purch_paypal_ind,lp_broadband_plan,lp_auto_renew,arenadis,emaildays,emailopendays,closeteam,pre_total_tickets_cat,tot_emails_90dprior_cat,tot_opens_90dprior_cat,fan_totalamtl24m_cat,mths_since_purch_cat,pre_total_tickets,fan_pmt,fancardcat
1000000022137,316,,,0,0,0,1,4,16,1,Hotmail,0,0,0,0,0,0,42,40s,U,12.826533869,123,0,0,0,0,1,0,0,0,59,1,1,0,0,0,0,0,1,0,SPURS,1,0,0,0,0,0,0,0,0,1lt30,4mt60lt360,7unknown,Mavericks,0none,0none,0none,0none,5mt24,0,100000,VISAonly
1000000081865,,,,0,0,0,0,0,0,1,AOL,0,0,0,0,0,0,58,50s,M,77.466628137,175,0,0,0,0,0,69.99,69.99,69.99,1,1,1,0,0,0,0,0,1,0,THUNDER,1,0,0,0,0,0,0,0,0,2mt30lt100,7unknown,7unknown,Celtics,0none,0none,0none,2gt50lte10,1lt3,0,100000,VISAonly
1000000089508,94,385,,0,0,0,1,177,273,1,Yahoo,0,0,0,0,0,0,44,40s,M,26.996728525,123,0,0,1,0,1,0,65.85,87.8,20,1,1,0,0,0,0,0,1,0,MAVS,1,0,0,0,0,0,0,0,0,1lt30,4mt60lt360,5mt360,Mavericks,1gte1lte4,0none,0none,2gt50lte10,4mt12lt24,2,100000,VISAonly
1000000105393,221,,,0,0,0,1,16,20,1,Gmail,0,0,0,0,0,0,33,30s,M,89.6621464,175,732.56,20,1,0,1,0,0,0,44,1,1,0,1,0,1,1,1,0,NA,1,0,0,0,0,0,0,0,0,2mt30lt100,4mt60lt360,7unknown,Celtics,4gt12,0none,0none,0none,5mt24,26,101011,CombPmt
1000000109222,8,,,1,1,1,1,2,5,1,Gmail,0,0,0,0,0,0,29,20s,M,3.8481172078,165,28.6,4,1,0,1,23.95,23.95,23.95,10,1,1,0,0,0,0,0,1,0,CELTICS,1,0,0,0,0,0,0,0,0,1lt30,2mt7lt30,7unknown,Celtics,1gte1lte4,1gte1lte4,0none,1gt0lte50,3mt6lt12,4,100000,VISAonly
1000000113109,60,,,0,1,1,1,4,16,1,Yahoo,0,0,0,0,0,0,61,60+,M,18.260848063,155,0,0,1,1,1,0,0,0,85,1,1,0,0,0,0,0,1,0,LAKERS,0,0,0,0,0,0,0,0,0,1lt30,3mt30lt60,7unknown,Mavericks,1gte1lte4,1gte1lte4,0none,0none,5mt24,3,100000,VISAonly
1000000146218,959,974,,0,0,0,0,0,41,1,AOL,0,0,0,0,0,0,62,60+,F,14.231518221,123,0,0,0,0,0,0,0,0,38,1,1,0,0,0,0,0,1,0,PACERS,0,0,0,0,0,0,0,0,0,1lt30,5mt360,5mt360,Mavericks,0none,0none,0none,0none,5mt24,0,100000,VISAonly
1000000159329,400,,,0,0,0,0,2,15,1,Other,0,0,0,0,0,0,25,20s,M,95.39467473,120,0,0,0,0,0,0,0,0,64,1,0,1,0,0,0,0,1,0,KNICKS,0,0,0,0,0,0,0,0,0,2mt30lt100,5mt360,7unknown,Celtics,0none,0none,0none,0none,5mt24,0,10000,MConly
1000000185236,,,,0,0,0,0,0,0,1,net,0,0,0,0,0,0,48,40s,M,86.433885306,158,0,0,0,0,0,0,0,0,86,1,1,0,0,0,0,0,1,0,LAKERS,0,0,0,0,0,0,0,0,0,2mt30lt100,7unknown,7unknown,Celtics,0none,0none,0none,0none,5mt24,0,100000,VISAonly
1000000188900,314,,,0,0,0,1,2,15,1,net,0,0,0,0,0,0,27,20s,M,84.136182269,107,0,0,0,0,0,0,0,0,61,1,1,0,0,0,0,0,1,0,KNICKS,1,0,0,0,0,0,0,0,0,2mt30lt100,4mt60lt360,7unknown,Celtics,0none,0none,0none,0none,5mt24,0,100000,VISAonly
